text|label
Привет|0
Ку|0
Хеллоу|0
Приветики|0
Приветик|0
Приветствую вас|0
Greetings!|0
Доброй ночи|0
Здорово!|0
Доброго времени суток|0
Доброго|0
Добрейшего|0
Приветствую тебя|0
День добрый|0
Приветствую всех|0
Доброго здоровья|0
Hey there!|0
Hello, mate!|0
Howdy!|0
Yo!|0
Hiya!|0
Good morning!|0
Hello!|0
Good evening!|0
Салют|0
Приветствую|0
Утро доброе|0
Добрый вечер|0
Здравствуй|0
Приветствую!|0
Вечер добрый|0
Здорово|0
Здравствуйте!|0
Доброе утро!|0
Хай|0
Добрый день|0
Доброе утро|0
Привет, как дела?|0
Бонжур|0
Добрый день!|0
Здравствуй, друг|0
Приветик!|0
Йоу|0
Здравия желаю|0
Здарова|0
Хэй|0
Добрый вечер!|0
Доброго вечера|0
Здравия желаю!|0
Доброго времени суток!|0
Хеллоу!|0
Салют!|0
Здравствуйте|0
Hey, how's your week?|1
What's the latest?|1
Hello, how are things?|1
Как у тебя дела|1
Как проходит день|1
Как настроение|1
Как дела|1
Все в порядке|1
Как проходят будни|1
Как идут дела у тебя|1
Как поживаешь|1
Как делишки|1
Как твоя жизнь|1
Как оно?|1
Как твое самочувствие|1
Hey, how've you been?|1
What's good?|1
What are you up to?|1
Что по чем?|1
Good day, how do you do?|1
Sup?|1
How's it hanging?|1
Yo, what's up?|1
Anything new?|1
Hey, how's life?|1
How's your day going?|1
Greetings, how are you today?|1
What's cracking?|1
How are you doing?|1
What's new with you?|1
Hey, what's going on?|1
Hi, how's everything?|1
What's up?|1
How have you been?|1
What's happening?|1
Как твои дела?|1
Нормально?|1
Все хорошо?|1
Как проходит неделя|1
Какие у тебя новости|1
Как идет жизнь|1
Что нового|1
Как ты|1
Как ты себя чувствуешь|1
Что новенького|1
Как дела?|1
Как себя чувствуешь|1
Как твои дела!|1
Как себя чувствуешь сегодня?|1
Как твои успехи?|1
Какие планы!|1
Ты как|1
Как оно!|1
Как прошел день!|1
Что нового!|1
Как ты себя чувствуешь!|1
Все хорошо!|1
Как настроение!|1
Как жизнь!|1
Что расскажешь!|1
Какие планы?|1
Что расскажешь?|1
Как ты?|1
Как ощущения|1
Все в порядке у тебя|1
Как ты себя чувствуешь?|1
Как прошел день?|1
Как проходит месяц|1
Как сам?|1
Wassup?|1
Как день протекает|1
Как поживаешь?|1
Чё как?|1
Всё чики-пуки?|1
Что нового?|1
Как настроение?|1
Как жизнь?|1
Какие вести|1
Как идут дела|1
Как жизнь течет|1
Как оно|1
Какие успехи|1
Peace out.|2
I'm outta here!|2
Take it easy.|2
How do I subscribe to your newsletter?|2
Safe travels.|2
See you soon!|2
Keep in touch.|2
Bye for now.|2
Farewell!|2
Until next time.|2
Is this the right way to the train station?|2
Are we out of milk?|2
Can you recommend a good restaurant?|2
Could you explain this problem to me?|2
What's the weather going to be like tomorrow?|2
Is there any coffee left?|2
Could you tell me how to get to the museum?|2
Do you know what time the store closes?|2
Do you know where my glasses are?|2
Can you help me with my homework?|2
Are you going to the party tonight?|2
Can I borrow your charger?|2
Do you remember where we parked?|2
See you later!|2
Goodbye for now.|2
Catch you on the flip side.|2
Take care!|2
Talk to you soon.|2
What does this word mean?|2
Do you have any plans for the weekend?|2
Сколько времени?|2
Это был долгий день|2
Пока|2
Можешь помочь?|2
Погода сегодня отличная|2
Я сегодня на работе|2
Смотрел новый фильм?|2
Планируешь куда-нибудь идти?|2
Я вот что думаю...|2
Сколько времени?|2
Спасибо большое|2
Как прошел день?|2
До свидания|2
Есть чё интересное?|2
Смотрел новый фильм?|2
Планируешь куда-нибудь идти?|2
Что делаешь?|2
Я вот что думаю...?|2
See you next time.|2
Где ты был вчера?|2
Какая сейчас песня играет?|2
Где ты был вчера?|2
Я сегодня на работе?|2
Какой сегодня день?|2
Погода сегодня отличная?|2
Какие у тебя планы на вечер?|2
Ты в курсе последних новостей?|2
Мне нравится изучать новые языки|2
Как насчёт кино вечером?|2
Помнишь вчерашний день?|2
Я только что закончил проект|2
Уже поздно, пора спать|2
Ты играешь в видеоигры?|2
Я считаю, что образование очень важно|2
Скоро новый год|2
Какой у тебя любимый фильм?|2
Я только что прочитал интересную статью|2
Всегда найдется повод для радости|2
Надеюсь, на следующей неделе будет теплее|2
Пора бы уже и на отдых|2
Лучше поздно, чем никогда|2
Где ты был?|2
Мечтаю о путешествии в Японию|2
Завтра обещают дождь|2
Я обожаю лето|2
Этот новый фильм просто невероятен|2
Наконец-то пятница|2
Сегодня отличный день для прогулки|2
Чем занимаешься сейчас?|2
Чё куда когда?|2
Какая сейчас песня играет?|2
Я пойду|2
Что делаешь?|2
Какой сегодня день?|2
Как ты относишься к спорту?|2
Adios!|2
