text|label
Привет|0
Добрый день|0
Приветствую!|0
Здравствуйте|0
Здравствуй|0
Вечер добрый|0
Здорово|0
Здравствуйте!|0
Доброе утро!|0
Доброе утро|0
Добрый день!|0
Привет, как дела?|0
Бонжур|0
Хэй|0
Здравствуй, друг|0
Хеллоу!|0
Доброго времени суток!|0
Здравия желаю!|0
Салют!|0
Добрый вечер!|0
Доброго вечера|0
Здарова|0
Здравия желаю|0
Йоу|0
Приветик!|0
Добрый вечер|0
Хай|0
Приветствую|0
Салют|0
Ку|0
Хеллоу|0
Приветики|0
Приветик|0
Приветствую вас|0
Утро доброе|0
Доброй ночи|0
Здорово!|0
Доброго времени суток|0
Доброго|0
Добрейшего|0
Приветствую тебя|0
День добрый|0
Приветствую всех|0
Доброго здоровья|0
Как прошел день?|1
Как ты себя чувствуешь?|1
Все в порядке у тебя|1
Как ощущения|1
Как ты?|1
Что расскажешь?|1
Какие планы?|1
Что расскажешь!|1
Как жизнь!|1
Как настроение!|1
Все хорошо!|1
Как ты себя чувствуешь!|1
Что нового!|1
Как прошел день!|1
Как оно!|1
Ты как|1
Какие планы!|1
Как твои успехи?|1
Как себя чувствуешь сегодня?|1
Как твои дела!|1
Как себя чувствуешь|1
Как дела?|1
Что новенького|1
Как ты себя чувствуешь|1
Как ты|1
Что нового|1
Как идет жизнь|1
Какие у тебя новости|1
Как проходит неделя|1
Как проходит месяц|1
Какие успехи|1
Как оно|1
Как жизнь течет|1
Как день протекает|1
Как идут дела|1
Какие вести|1
Как жизнь?|1
Как настроение?|1
Нормально?|1
Что нового?|1
Всё чики-пуки?|1
Чё как?|1
Как поживаешь?|1
Все хорошо?|1
Как сам?|1
Как твои дела?|1
Что по чем?|1
Как оно?|1
Как твоя жизнь|1
Как делишки|1
Как дела|1
Как поживаешь|1
Как идут дела у тебя|1
Как проходят будни|1
Все в порядке|1
Как твое самочувствие|1
Как проходит день|1
Как настроение|1
Как у тебя дела|1
Какие у тебя планы на вечер?|2
Погода сегодня отличная?|2
Какой сегодня день?|2
Я сегодня на работе?|2
Где ты был вчера?|2
Какая сейчас песня играет?|2
Где ты был вчера?|2
Сколько времени?|2
Я вот что думаю...?|2
Что делаешь?|2
Планируешь куда-нибудь идти?|2
Ты в курсе последних новостей?|2
Смотрел новый фильм?|2
До свидания|2
Как прошел день?|2
Спасибо большое|2
Сколько времени?|2
Я вот что думаю...|2
Планируешь куда-нибудь идти?|2
Смотрел новый фильм?|2
Я сегодня на работе|2
Погода сегодня отличная|2
Можешь помочь?|2
Пока|2
Есть чё интересное?|2
Как насчёт кино вечером?|2
Где ты был?|2
Помнишь вчерашний день?|2
Какой сегодня день?|2
Что делаешь?|2
Я пойду|2
Какая сейчас песня играет?|2
Чё куда когда?|2
Чем занимаешься сейчас?|2
Сегодня отличный день для прогулки|2
Наконец-то пятница|2
Этот новый фильм просто невероятен|2
Я обожаю лето|2
Завтра обещают дождь|2
Как ты относишься к спорту?|2
Мечтаю о путешествии в Японию|2
Лучше поздно, чем никогда|2
Пора бы уже и на отдых|2
Надеюсь, на следующей неделе будет теплее|2
Всегда найдется повод для радости|2
Я только что прочитал интересную статью|2
Какой у тебя любимый фильм?|2
Скоро новый год|2
Я считаю, что образование очень важно|2
Ты играешь в видеоигры?|2
Уже поздно, пора спать|2
Я только что закончил проект|2
Это был долгий день|2
Мне нравится изучать новые языки|2
